# Likhi roman -> bengali overrides
# Format: roman<TAB>bengali  (roman lowercased at load; one pair per line)
# Generated from the user 500-word dictionary. Order = candidate order
# for a roman key with several spellings (first line ranks first).
# Rebuild: python tools/corpus_builder/build_lexicon.py

ami	আমি
goal	গোল
score	স্কোর
captain	ক্যাপ্টেন
coach	কোচ
stadium	স্টেডিয়াম
tournament	টুর্নামেন্ট
champion	চ্যাম্পিয়ন
winner	উইনার
loser	লুজার
bat	ব্যাট
ball	বল
wicket	উইকেট
over	ওভার
run	রান
umpire	আম্পায়ার
final	ফাইনাল
semifinal	সেমিফাইনাল
league	লিগ
club	ক্লাব
sport	স্পোর্ট
hello	হ্যালো
hi	হাই
bye	বাই
sorry	সরি
thanks	থ্যাংকস
thankyou	থ্যাংক ইউ
welcome	ওয়েলকাম
please	প্লিজ
okay	ওকে
yes	ইয়েস
no	নো
good	গুড
bad	ব্যাড
nice	নাইস
great	গ্রেট
best	বেস্ট
cool	কুল
perfect	পারফেক্ট
problem	প্রবলেম
solution	সলিউশন
idea	আইডিয়া
plan	প্ল্যান
chance	চান্স
time	টাইম
place	প্লেস
reason	রিজন
question	কোয়েশ্চেন
answer	অ্যান্সার
example	এক্সাম্পল
important	ইম্পর্ট্যান্ট
special	স্পেশাল
normal	নরমাল
simple	সিম্পল
easy	ইজি
difficult	ডিফিকাল্ট
possible	পসিবল
impossible	ইমপসিবল
correct	কারেক্ট
wrong	রং
ready	রেডি
busy	বিজি
free	ফ্রি
active	অ্যাকটিভ
serious	সিরিয়াস
funny	ফানি
happy	হ্যাপি
sad	স্যাড
angry	অ্যাংরি
love	লাভ
life	লাইফ
world	ওয়ার্ল্ড
people	পিপল
friend	ফ্রেন্ড
family	ফ্যামিলি
brother	ব্রাদার
sister	সিস্টার
mother	মাদার
father	ফাদার
uncle	আঙ্কেল
aunty	আন্টি
baby	বেবি
boy	বয়
girl	গার্ল
man	ম্যান
woman	ওম্যান
person	পারসন
name	নেম
age	আগে
phone	ফোন
story	স্টোরি
news	নিউজ
media	মিডিয়া
channel	চ্যানেল
live	লাইভ
post	পোস্ট
comment	কমেন্ট
like	লাইক
share	শেয়ার
follow	ফলো
subscribe	সাবস্ক্রাইব
content	কনটেন্ট
creator	ক্রিয়েটর
blogger	ব্লগার
page	পেজ
group	গ্রুপ
admin	অ্যাডমিন
member	মেম্বার
user	ইউজার
follower	ফলোয়ার
request	রিকোয়েস্ট
engineer	ইঞ্জিনিয়ার
lawyer	লয়ার
professor	প্রফেসর
officer	অফিসার
police	পুলিশ
soldier	সোলজার
army	আর্মি
navy	নেভি
pilot	পাইলট
farmer	ফার্মার
businessman	বিজনেসম্যান
journalist	জার্নালিস্ট
reporter	রিপোর্টার
actor	অ্যাক্টর
actress	অ্যাক্ট্রেস
singer	সিঙ্গার
artist	আর্টিস্ট
writer	রাইটার
author	অথর
designer	ডিজাইনার
developer	ডেভেলপার
programmer	প্রোগ্রামার
leader	লিডার
president	প্রেসিডেন্ট
minister	মিনিস্টার
government	গভর্নমেন্ট
politics	পলিটিক্স
policy	পলিসি
party	পার্টি
election	ইলেকশন
vote	ভোট
candidate	ক্যান্ডিডেট
country	কান্ট্রি
city	সিটি
capital	ক্যাপিটাল
district	ডিস্ট্রিক্ট
division	ডিভিশন
area	এরিয়া
region	রিজিয়ন
local	লোকাল
national	ন্যাশনাল
international	ইন্টারন্যাশনাল
global	গ্লোবাল
public	পাবলিক
private	প্রাইভেট
personal	পার্সোনাল
official	অফিসিয়াল
common	কমন
popular	পপুলার
famous	ফেমাস
modern	মডার্ন
classic	ক্লাসিক
original	অরিজিনাল
basic	বেসিক
advanced	অ্যাডভান্সড
professional	প্রফেশনাল
practical	প্র্যাকটিক্যাল
natural	ন্যাচারাল
virtual	ভার্চুয়াল
real	রিয়েল
current	কারেন্ট
future	ফিউচার
past	পাস্ট
present	প্রেজেন্ট
today	টুডে
tomorrow	টুমরো
yesterday	ইয়েস্টারডে
morning	মর্নিং
evening	ইভনিং
night	নাইট
weekend	উইকেন্ড
holiday	হলিডে
festival	ফেস্টিভ্যাল
birthday	বার্থডে
event	ইভেন্ট
function	ফাংশন
conference	কনফারেন্স
seminar	সেমিনার
workshop	ওয়ার্কশপ
training	ট্রেনিং
target	টার্গেট
success	সাকসেস
failure	ফেইলিউর
thank	থ্যাংক
you	ইউ
banking	ব্যাংকিং
ice	আইস

# common conversational spelling fixes (Banglish smoothness)
kichu	কিছু
valobasha	ভালোবাসা
bhallo	ভালো
kemon	কেমন
jabo	যাব

# Update 2 natural Banglish & chat vocabulary expansion
sono	শোনো
shono	শোনো
shun	শুন
updet	আপডেট
apdet	আপডেট
fix	ফিক্স
fiksh	ফিক্স
nosto	নষ্ট
noshto	নষ্ট
kora	করা
aage	আগে
confram	কনফার্ম
confirm	কনফার্ম
konfram	কনফার্ম
konfirm	কনফার্ম
janabe	জানাবে
dectect	ডিটেক্ট
detect	ডিটেক্ট
ditect	ডিটেক্ট
orthath	অর্থাৎ
orthat	অর্থাৎ
inteligent	ইন্টেলিজেন্ট
intelligent	ইন্টেলিজেন্ট
inteligant	ইন্টেলিজেন্ট
partan	প্যাটার্ন
pattern	প্যাটার্ন
petarn	প্যাটার্ন
mone	মনে
suru	শুরু
shuru	শুরু
sesh	শেষ
shesh	শেষ
rule	রুল
rules	রুলস
mishe	মিশে
jabe	যাবে
hobe	হবে
sikhbe	শিখবে
shikhbe	শিখবে
lekha	লেখা
lekhar	লেখার
theke	থেকে
sathe	সাথে
holo	হলো
korbe	করবে
korte	করতে
giye	গিয়ে
ager	আগের
kono	কোনো
amake	আমাকে
amader	আমাদের
apnar	আপনার
apnake	আপনাকে
dekho	দেখো
thik	ঠিক
temon	তেমন
bhabe	ভাবে
vabe	ভাবে
jate	যাতে
pare	পারে
se	সে
bolle	বললে
boro	বড়
choto	ছোট
notun	নতুন
puran	পুরান
purono	পুরোনো
shobar	সবার
shobai	সবাই
sobai	সবাই
sobar	সবার
ekhon	এখন
kokhon	কখন
tokhon	তখন
ekhane	এখানে
eikhane	এখানে
sekhane	সেখানে
oikhane	ওইখানে
keno	কেন
karon	কারণ
kintu	কিন্তু
tobe	তবে
ar	আর
aar	আর
ba	বা
othoba	অথবা
ebong	এবং
abong	এবং
shathe	সাথে
ache	আছে
achhe	আছে
nei	নেই
nai	নাই
thakbe	থাকবে
hoyeche	হয়েছে
geche	গেছে
gache	গেছে
korlam	করলাম
korechi	করেছি
korecho	করেছো
korcho	করছো
korbo	করব
bolbo	বলব
dekhte	দেখতে
shunte	শুনতে
parbo	পারব
parbe	পারবে
bujhte	বুঝতে
bujhbe	বুঝবে
janbo	জানব
jani	জানি
janina	জানিনা
dekhi	দেখি
dekhun	দেখুন
bolun	বলুন
shunun	শুনুন
ashun	আসুন
dhonnobad	ধন্যবাদ
dhonjobad	ধন্যবাদ
shagotom	স্বাগতম
shagoto	স্বাগত
